time (UTC),"UTCI (52.25˚N, 4.75˚E)","UTCI (52.5˚N, 4.5˚E)","UTCI (52.25˚N, 4.5˚E)","UTCI (52.0˚N, 4.5˚E)","UTCI (52.5˚N, 4.75˚E)","UTCI (52.0˚N, 4.75˚E)","UTCI (52.5˚N, 5.0˚E)","UTCI (52.25˚N, 5.0˚E)","UTCI (52.0˚N, 5.0˚E)"
2016-07-01T00:00:00.0,5.7867737,3.2342224,4.7152405,4.7152405,5.187805,5.7867737,6.127777,6.5295105,6.5295105
2016-07-01T01:00:00.0,4.692047,1.6612244,3.731964,3.731964,3.6183167,4.692047,4.699463,5.3025513,5.3025513
2016-07-01T02:00:00.0,3.920227,1.0617981,3.3051147,3.3051147,2.6793213,3.920227,3.5633545,4.3315125,4.3315125
2016-07-01T03:00:00.0,4.9314575,2.076416,4.373749,4.373749,3.3408813,4.9314575,3.83609,5.148987,5.148987
2016-07-01T04:00:00.0,5.8877563,2.136322,5.0226135,5.0226135,3.9837036,5.8877563,4.963135,6.49411,6.49411
2016-07-01T05:00:00.0,6.5295715,2.5976562,5.4856567,5.4856567,4.5895996,6.5295715,5.618103,7.1721497,7.1721497
2016-07-01T06:00:00.0,7.557617,3.5400085,6.3089905,6.3089905,5.641876,7.557617,6.7037964,8.4747925,8.4747925
2016-07-01T07:00:00.0,9.83606,5.4371033,9.314606,9.314606,7.483917,9.83606,8.641388,10.210724,10.210724
2016-07-01T08:00:00.0,10.95929,5.820862,9.700256,9.700256,8.818176,10.95929,10.054779,11.454071,11.454071
2016-07-01T09:00:00.0,12.37323,7.7610474,12.217529,12.217529,10.3750305,12.37323,11.131592,12.372742,12.372742
2016-07-01T10:00:00.0,14.33786,9.057312,13.02597,13.02597,12.742371,14.33786,14.4991455,15.098816,15.098816
2016-07-01T11:00:00.0,14.841248,10.105713,14.472717,14.472717,13.465515,14.841248,14.845642,15.005463,15.005463
2016-07-01T12:00:00.0,16.887085,11.188446,16.486755,16.486755,15.153076,16.887085,16.67688,16.888702,16.888702
2016-07-01T13:00:00.0,14.737946,10.485779,14.404572,14.404572,13.364746,14.737946,14.85379,15.066956,15.066956
2016-07-01T14:00:00.0,16.119415,10.353363,15.095856,15.095856,13.698364,16.119415,14.906006,16.067657,16.067657
2016-07-01T15:00:00.0,14.132446,9.661285,12.87442,12.87442,12.717163,14.132446,13.850128,14.771606,14.771606
2016-07-01T16:00:00.0,11.688934,8.555084,11.903229,11.903229,10.076691,11.688934,11.14151,12.187958,12.187958
2016-07-01T17:00:00.0,11.574738,8.88678,11.820923,11.820923,10.158936,11.574738,10.578064,11.456238,11.456238
2016-07-01T18:00:00.0,9.357391,6.273346,8.626068,8.626068,8.40506,9.357391,9.67746,10.265961,10.265961
2016-07-01T19:00:00.0,8.215698,5.1762695,7.24646,7.24646,6.8598633,8.215698,7.6565857,8.729187,8.729187
2016-07-01T20:00:00.0,7.291748,3.6090698,6.1516113,6.1516113,5.614105,7.291748,6.8023987,7.9920654,7.9920654
2016-07-01T21:00:00.0,5.6190186,1.1737976,4.1336365,4.1336365,3.6029358,5.6190186,5.15744,6.6424866,6.6424866
2016-07-01T22:00:00.0,4.7048035,0.5778198,3.1111145,3.1111145,2.8998413,4.7048035,4.3497314,5.827179,5.827179
2016-07-01T23:00:00.0,3.9921265,0.41677856,2.6053162,2.6053162,2.5844727,3.9921265,3.9299316,5.023651,5.023651
2016-07-02T00:00:00.0,3.5537415,0.79623413,2.3816223,2.3816223,2.4817505,3.5537415,3.487732,4.401001,4.401001
2016-07-02T01:00:00.0,2.5449524,0.032318115,1.8383789,1.8383789,1.2867126,2.5449524,2.106842,3.1941528,3.1941528
2016-07-02T02:00:00.0,3.0047302,0.38446045,2.27417,2.27417,2.3876648,3.0047302,2.9980774,3.3025513,3.3025513
2016-07-02T03:00:00.0,2.9009705,-0.3642578,1.6426086,1.6426086,2.255127,2.9009705,3.1798706,3.1763,3.1763
2016-07-02T04:00:00.0,3.932251,0.28979492,2.766327,2.766327,2.8894043,3.932251,3.909607,4.0395813,4.0395813
2016-07-02T05:00:00.0,6.4593506,3.0412903,5.425659,5.425659,5.2149963,6.4593506,6.1135254,6.496582,6.496582
2016-07-02T06:00:00.0,9.462463,5.3776245,8.523224,8.523224,7.605072,9.462463,7.956665,9.355469,9.355469
2016-07-02T07:00:00.0,11.632874,7.324707,10.495636,10.495636,9.414734,11.632874,10.230377,11.81012,11.81012
2016-07-02T08:00:00.0,13.295471,7.9945374,12.033661,12.033661,10.808929,13.295471,12.2725525,14.092041,14.092041
2016-07-02T09:00:00.0,13.21286,7.351837,12.112152,12.112152,10.319702,13.21286,12.024048,14.030853,14.030853
2016-07-02T10:00:00.0,13.7812195,6.981415,12.669891,12.669891,10.594788,13.7812195,12.691345,14.677429,14.677429
2016-07-02T11:00:00.0,15.319397,7.016388,13.400513,13.400513,11.709534,15.319397,14.3454895,16.519745,16.519745
2016-07-02T12:00:00.0,14.345154,6.5424805,13.006958,13.006958,10.608032,14.345154,12.761322,15.170837,15.170837
2016-07-02T13:00:00.0,12.509735,6.8622437,12.008331,12.008331,11.238159,12.509735,12.907379,13.253632,13.253632
2016-07-02T14:00:00.0,12.012024,6.7204895,11.129486,11.129486,10.640686,12.012024,12.67984,12.553833,12.553833
2016-07-02T15:00:00.0,10.6171875,7.354431,10.912689,10.912689,9.25473,10.6171875,10.582123,10.327759,10.327759
2016-07-02T16:00:00.0,12.5564575,9.120544,12.408325,12.408325,10.896179,12.5564575,11.511017,12.312317,12.312317
2016-07-02T17:00:00.0,12.811493,9.767548,12.201752,12.201752,11.556152,12.811493,12.120789,12.864136,12.864136
2016-07-02T18:00:00.0,12.651398,8.966766,11.48822,11.48822,11.159851,12.651398,12.048065,13.182922,13.182922
2016-07-02T19:00:00.0,9.676788,4.561096,7.9515686,7.9515686,7.480652,9.676788,9.308258,10.675964,10.675964
2016-07-02T20:00:00.0,7.0987244,2.175232,5.7695007,5.7695007,3.840088,7.0987244,4.8530884,7.575653,7.575653
2016-07-02T21:00:00.0,5.6326904,0.9741211,3.598175,3.598175,3.2147217,5.6326904,4.221588,6.354248,6.354248
2016-07-02T22:00:00.0,3.7651978,0.68118286,2.323944,2.323944,2.603485,3.7651978,3.5314941,4.439331,4.439331
2016-07-02T23:00:00.0,2.6145935,0.13137817,1.4195557,1.4195557,1.6502991,2.6145935,2.0953674,3.079773,3.079773
2016-07-03T00:00:00.0,2.816101,0.035736084,1.7850037,1.7850037,1.5756531,2.816101,1.9849548,3.0995483,3.0995483
2016-07-03T01:00:00.0,2.949768,0.34069824,2.2156677,2.2156677,1.5230713,2.949768,1.617218,2.9716187,2.9716187
2016-07-03T02:00:00.0,2.6144104,0.47406006,1.7664795,1.7664795,1.741272,2.6144104,1.7956238,2.6916504,2.6916504
2016-07-03T03:00:00.0,2.1114807,0.03552246,1.4093933,1.4093933,1.4992981,2.1114807,1.7215881,2.2642212,2.2642212
2016-07-03T04:00:00.0,3.894806,1.4980469,3.6589355,3.6589355,2.8075867,3.894806,2.888214,3.6528625,3.6528625
2016-07-03T05:00:00.0,7.921173,5.667328,7.598175,7.598175,7.5891724,7.921173,7.870941,7.8916626,7.8916626
2016-07-03T06:00:00.0,10.819183,8.333069,10.990448,10.990448,10.328247,10.819183,10.810913,10.597076,10.597076
2016-07-03T07:00:00.0,14.414001,11.894012,13.975403,13.975403,13.982025,14.414001,14.631866,14.53894,14.53894
2016-07-03T08:00:00.0,16.453156,12.7291565,16.15152,16.15152,15.206512,16.453156,16.426788,16.713135,16.713135
2016-07-03T09:00:00.0,18.612976,12.89505,17.570038,17.570038,16.022675,18.612976,17.71347,19.187744,19.187744
2016-07-03T10:00:00.0,20.078613,13.2508545,19.075623,19.075623,16.836212,20.078613,18.851746,20.664825,20.664825
2016-07-03T11:00:00.0,20.678284,12.841339,19.098938,19.098938,16.870483,20.678284,19.204926,21.477203,21.477203
2016-07-03T12:00:00.0,20.485687,12.250275,18.568634,18.568634,16.477173,20.485687,18.877625,21.472229,21.472229
2016-07-03T13:00:00.0,19.870483,11.9027405,17.648834,17.648834,15.926819,19.870483,18.139313,21.142761,21.142761
2016-07-03T14:00:00.0,17.502747,11.89563,16.69513,16.69513,14.621216,17.502747,16.219513,18.570465,18.570465
2016-07-03T15:00:00.0,16.61847,11.798431,16.624176,16.624176,13.941467,16.61847,15.050751,16.706451,16.706451
2016-07-03T16:00:00.0,18.139862,13.369904,17.731964,17.731964,15.708466,18.139862,16.669037,18.27005,18.27005
2016-07-03T17:00:00.0,17.65149,14.140747,17.150665,17.150665,16.489624,17.65149,17.376434,18.033508,18.033508
2016-07-03T18:00:00.0,17.943024,14.18631,16.986786,16.986786,16.770355,17.943024,17.884155,18.692078,18.692078
2016-07-03T19:00:00.0,17.122986,12.887451,16.370148,16.370148,15.436676,17.122986,16.565765,17.42694,17.42694
2016-07-03T20:00:00.0,14.776855,12.435303,14.260681,14.260681,13.56369,14.776855,13.373871,14.468475,14.468475
2016-07-03T21:00:00.0,11.594452,9.547974,10.420868,10.420868,9.538605,11.594452,9.429413,11.654968,11.654968
2016-07-03T22:00:00.0,10.135773,8.858124,11.149139,11.149139,10.548889,10.135773,10.772095,9.558533,9.558533
2016-07-03T23:00:00.0,10.411987,7.7334595,9.955444,9.955444,9.706207,10.411987,10.350708,10.518158,10.518158
2016-07-04T00:00:00.0,9.979095,7.212433,9.67981,9.67981,8.775543,9.979095,9.029114,9.850586,9.850586
2016-07-04T01:00:00.0,8.509644,6.8483887,8.635956,8.635956,8.069885,8.509644,8.1597595,8.389313,8.389313
2016-07-04T02:00:00.0,7.968933,6.812317,8.120758,8.120758,7.9718018,7.968933,8.047516,7.8862305,7.8862305
2016-07-04T03:00:00.0,7.428406,6.5827637,7.558502,7.558502,7.536804,7.428406,7.5533752,7.4213257,7.4213257
2016-07-04T04:00:00.0,8.230713,7.001953,8.115906,8.115906,7.958435,8.230713,7.9405212,8.238556,8.238556
2016-07-04T05:00:00.0,12.995056,11.01239,12.941193,12.941193,11.84552,12.995056,11.858307,12.978699,12.978699
2016-07-04T06:00:00.0,18.861786,14.606781,18.78012,18.78012,16.709015,18.861786,17.263733,18.700409,18.700409
2016-07-04T07:00:00.0,23.081177,17.366852,22.51529,22.51529,20.0018,23.081177,21.057495,23.276001,23.276001
2016-07-04T08:00:00.0,25.132874,19.45987,24.697815,24.697815,22.135345,25.132874,23.06253,25.177124,25.177124
2016-07-04T09:00:00.0,23.895569,20.150604,23.940094,23.940094,22.93341,23.895569,24.107117,23.978119,23.978119
2016-07-04T10:00:00.0,24.43399,20.815002,25.064087,25.064087,23.13388,24.43399,23.933868,23.8844,23.8844
2016-07-04T11:00:00.0,23.99289,21.118652,24.929169,24.929169,23.106018,23.99289,23.740112,23.594055,23.594055
2016-07-04T12:00:00.0,25.455261,21.702606,26.1268,26.1268,24.25708,25.455261,25.129913,25.171356,25.171356
2016-07-04T13:00:00.0,25.240448,20.944977,26.033386,26.033386,23.65387,25.240448,24.755219,24.948456,24.948456
2016-07-04T14:00:00.0,25.804657,20.182922,26.132019,26.132019,24.009155,25.804657,25.461151,25.464478,25.464478
2016-07-04T15:00:00.0,26.17096,19.850677,26.342316,26.342316,23.651184,26.17096,25.330627,25.67865,25.67865
2016-07-04T16:00:00.0,24.057281,19.74704,24.30478,24.30478,22.546387,24.057281,24.161346,23.783417,23.783417
2016-07-04T17:00:00.0,24.218994,20.222595,23.496979,23.496979,22.30957,24.218994,23.994293,24.37085,24.37085
2016-07-04T18:00:00.0,22.92743,19.842102,21.772491,21.772491,21.100647,22.92743,22.264679,23.242615,23.242615
2016-07-04T19:00:00.0,20.426086,19.336395,19.833801,19.833801,20.077667,20.426086,20.979553,21.05307,21.05307
2016-07-04T20:00:00.0,16.590088,18.31607,15.876495,15.876495,16.787506,16.590088,16.139282,16.5943,16.5943
2016-07-04T21:00:00.0,13.613098,14.923737,14.303955,14.303955,14.404297,13.613098,13.63446,12.927063,12.927063
2016-07-04T22:00:00.0,13.042084,12.850159,11.979706,11.979706,14.817871,13.042084,15.447052,13.261383,13.261383
2016-07-04T23:00:00.0,13.286987,10.417603,12.353912,12.353912,11.926392,13.286987,13.28006,13.688293,13.688293
2016-07-05T00:00:00.0,11.867065,8.149231,10.105896,10.105896,10.8089905,11.867065,12.248169,12.910156,12.910156
2016-07-05T01:00:00.0,9.361298,6.0014343,7.8255005,7.8255005,8.386871,9.361298,9.924774,10.466217,10.466217
2016-07-05T02:00:00.0,7.587311,4.2714844,6.0440063,6.0440063,6.317993,7.587311,7.7993774,8.62384,8.62384
2016-07-05T03:00:00.0,6.6531677,3.6554565,5.9821777,5.9821777,5.129883,6.6531677,6.1192627,7.046692,7.046692
2016-07-05T04:00:00.0,6.747711,2.7575378,5.476074,5.476074,5.1806946,6.747711,6.423889,7.2071533,7.2071533
2016-07-05T05:00:00.0,9.961304,4.7109375,8.148102,8.148102,8.175842,9.961304,9.631287,10.593506,10.593506
2016-07-05T06:00:00.0,8.082428,4.623993,7.3418274,7.3418274,7.0808716,8.082428,8.159363,8.568787,8.568787
2016-07-05T07:00:00.0,9.107758,5.0916443,7.511505,7.511505,7.747772,9.107758,8.976715,9.779053,9.779053
2016-07-05T08:00:00.0,10.495483,7.5694275,10.481445,10.481445,9.58548,10.495483,10.154724,10.32663,10.32663
2016-07-05T09:00:00.0,11.590576,8.233673,12.222717,12.222717,10.333282,11.590576,10.976959,11.061462,11.061462
2016-07-05T10:00:00.0,15.460205,9.078522,14.345917,14.345917,12.961182,15.460205,14.420837,15.4461975,15.4461975
2016-07-05T11:00:00.0,17.167969,10.496155,16.645355,16.645355,14.353241,17.167969,15.895874,17.211456,17.211456
2016-07-05T12:00:00.0,16.959625,8.787903,15.891052,15.891052,12.406891,16.959625,14.648407,17.618774,17.618774
2016-07-05T13:00:00.0,12.098206,6.6152954,12.063416,12.063416,9.651947,12.098206,11.358643,12.82132,12.82132
2016-07-05T14:00:00.0,12.844147,7.6647034,12.95636,12.95636,10.915497,12.844147,12.180328,12.542908,12.542908
2016-07-05T15:00:00.0,15.113007,8.778564,14.215179,14.215179,12.503357,15.113007,14.096497,15.374634,15.374634
2016-07-05T16:00:00.0,12.651886,8.059967,12.405945,12.405945,10.70578,12.651886,12.15625,13.074066,13.074066
2016-07-05T17:00:00.0,12.2291565,8.4079895,12.373566,12.373566,10.492615,12.2291565,11.233765,12.285065,12.285065
2016-07-05T18:00:00.0,13.10083,8.889618,12.745361,12.745361,10.964508,13.10083,11.606598,13.176147,13.176147
2016-07-05T19:00:00.0,10.027405,5.714966,9.821136,9.821136,7.366028,10.027405,7.9527893,9.887939,9.887939
2016-07-05T20:00:00.0,7.7061157,3.6002808,7.399231,7.399231,5.501251,7.7061157,5.812866,7.4496765,7.4496765
2016-07-05T21:00:00.0,5.0401,1.1601562,4.765442,4.765442,3.2113953,5.0401,3.586792,4.785095,4.785095
2016-07-05T22:00:00.0,5.338257,1.9898376,5.236908,5.236908,3.9863892,5.338257,4.387085,5.05188,5.05188
2016-07-05T23:00:00.0,5.3234253,2.3263245,5.3454285,5.3454285,4.130768,5.3234253,4.3091125,4.836914,4.836914
2016-07-06T00:00:00.0,5.9752197,2.5002441,6.0446777,6.0446777,4.375305,5.9752197,4.7252502,5.3742065,5.3742065
2016-07-06T01:00:00.0,6.1976013,1.8423157,5.8303833,5.8303833,3.7080078,6.1976013,4.1536865,5.7712097,5.7712097
2016-07-06T02:00:00.0,6.298126,2.491272,6.015869,6.015869,4.1349487,6.298126,4.3226013,5.7768555,5.7768555
2016-07-06T03:00:00.0,7.0989685,3.1088867,6.9198914,6.9198914,5.2006836,7.0989685,5.289398,6.466461,6.466461
2016-07-06T04:00:00.0,8.230652,3.7217102,7.75708,7.75708,6.1811523,8.230652,6.531189,7.821167,7.821167
2016-07-06T05:00:00.0,11.754547,7.547638,10.906097,10.906097,10.417023,11.754547,11.167023,11.737061,11.737061
2016-07-06T06:00:00.0,14.585205,9.734772,13.470764,13.470764,11.741821,14.585205,12.583221,15.066925,15.066925
2016-07-06T07:00:00.0,16.04715,11.940247,15.814117,15.814117,13.659882,16.04715,14.125427,16.066864,16.066864
2016-07-06T08:00:00.0,18.16269,13.31604,17.460297,17.460297,15.697052,18.16269,16.361847,18.274597,18.274597
2016-07-06T09:00:00.0,18.029724,13.423981,17.988556,17.988556,15.513519,18.029724,16.02481,17.852386,17.852386
2016-07-06T10:00:00.0,19.35263,14.198761,19.565125,19.565125,16.319946,19.35263,16.947052,19.07837,19.07837
